id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34124263,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37182,-71.08906,Private room,65,28,3,2019-05-28,0.23,22,364
34126785,"Private Rm, 5-Min Walk to Harvard, 1 Month Minimum",229497500,Hellen,,Mid-Cambridge,42.37683,-71.10843,Private room,47,28,4,2019-08-13,0.34,4,365
34127139,"Private Rm, 5-Min Walk to Harvard, 1 Month Minimum",229497500,Hellen,,Mid-Cambridge,42.37681,-71.10831,Private room,46,28,4,2019-11-06,0.30,4,329
34127149,"Private Rm, 5-Min Walk to Harvard, 1 Month Minimum",229497500,Hellen,,Agassiz,42.37872,-71.10826,Private room,65,28,3,2020-02-02,0.33,4,0
34132996,"Dapper Kendall Square 1BR w/Gym, near MIT & Mass General, by Blueground",107434423,Blueground,,East Cambridge,42.36624,-71.0841,Entire home/apt,166,32,1,2019-10-12,0.13,36,351
34301228,Sunny 3 bed 2.5 bath in quiet and central location,69838,Mara,,Cambridgeport,42.3625,-71.10418,Entire home/apt,317,91,0,,,3,89
34336722,Sunny spacious apartment on Harvard Street,11319285,Kevin,,Mid-Cambridge,42.36974,-71.10929,Entire home/apt,200,91,5,2019-06-22,0.41,1,0
34440624,"Cute, comfortable, and centrally located",1858876,Erez,,East Cambridge,42.36956,-71.08176,Private room,114,1,8,2020-01-10,0.63,2,52
34461429,Room steps to Harvard Yard L 來去哈佛,82946167,Yuan,,Agassiz,42.37833,-71.1122,Private room,89,30,19,2020-03-02,1.74,5,174
34479576,Cozy Pet friendly Studio@Harvard MIT,260268708,Sisy,,Riverside,42.36412,-71.1152,Entire home/apt,119,91,1,2019-05-26,0.08,1,0
34507120,"Cute, Comfortable, and Centrally Located",1858876,Erez,,East Cambridge,42.37061,-71.0829,Private room,95,30,8,2020-03-07,0.64,2,283
34642733,Unique artful loft home - My casa Your casa,1655295,Jin,,West Cambridge,42.38399,-71.14044,Entire home/apt,83,91,0,,,2,0
34664077,Luxury studio w/ parking by MIT/Harvard/BU/Fenway,66604416,Toby & Quinn,,Cambridgeport,42.35768,-71.10982,Entire home/apt,114,1,131,2020-05-06,10.45,4,103
34785693,2 BR  APT w/ parking near MIT/Harvard/BU/Fenway,66604416,Toby & Quinn,,Cambridgeport,42.35747,-71.10963,Entire home/apt,134,1,95,2020-05-02,7.64,4,154
34807804,Spacious bedroom with private bathroom in 2 bd/2bt,262424538,Salma,,Mid-Cambridge,42.37519,-71.10946,Private room,120,91,3,2019-08-28,0.25,1,0
34859528,Harvard Square,224407587,Yu,,Agassiz,42.37971,-71.11941,Private room,45,91,2,2019-06-21,0.16,1,0
34910959,Beautiful room in the heart of Harvard Square,57068276,Melissa,,West Cambridge,42.37377,-71.1238,Private room,180,91,1,2019-05-22,0.08,2,0
34937739,"ENTIRE PLACE: Stylish private condo, sunny bedroom",4119669,Vivia,,Wellington-Harrington,42.37212,-71.09524,Private room,115,2,9,2020-03-04,0.99,2,0
34944649,Luxury 1BR APT w/ parking by MIT/Harvard/BU/Fenway,66604416,Toby & Quinn,,Cambridgeport,42.35564,-71.10982,Entire home/apt,150,1,117,2020-04-13,9.56,4,109
34975940,1 BR Apartment w/King Size Bed Harvard/MIT,1411717,Robbie,,Mid-Cambridge,42.37616,-71.11113,Entire home/apt,173,1,56,2020-05-19,4.57,2,49
35060349,"Parking, Pets, and a Yard, Oh My!",11982406,Maggie,,Cambridgeport,42.35993,-71.11211,Entire home/apt,180,6,1,2019-09-30,0.12,3,344
35086687,A Modern Apartment in Cambridge,73719352,Jérémie,,East Cambridge,42.36955,-71.07522,Private room,110,2,2,2020-02-16,0.21,1,0
35187780,Franklin Blue House,66084479,Catherine,,Riverside,42.36767,-71.10779,Entire home/apt,825,91,1,2019-05-31,0.08,1,69
35233542,The big cozy room,70690651,Ronald,,Strawberry Hill,42.37938,-71.15227,Private room,75,30,3,2020-04-14,0.30,3,365
35333477,Room For Two Short Walk To Harvard (RM 8),51079261,Riverside,,Mid-Cambridge,42.36904,-71.10715,Private room,120,32,5,2019-06-28,0.42,47,2
35460964,Simple furnished studio,3668535,S,,Neighborhood Nine,42.38006,-71.12416,Entire home/apt,179,1,10,2020-03-18,0.98,4,180
35494382,"KENDALL SQ, CLOSE TO MIT AND HARVARD 1",132115657,Paula,,The Port,42.36733,-71.09332,Private room,99,1,26,2020-05-20,3.15,8,365
35536931,***Harvard/MIT/ HKS/HBS - 2 bed apt.*parking*,29261591,John,,Mid-Cambridge,42.3706,-71.11198,Entire home/apt,149,1,4,2020-01-19,0.44,1,266
35635231,"Nice Apartment,  Porter Square Harvard",8029934,Stuart,,Agassiz,42.38529,-71.11768,Entire home/apt,149,3,3,2019-09-23,0.27,3,0
35908090,Beautifully maintained 1 bed room apartment,18160426,Vaishali,,Area 2/MIT,42.36146,-71.08456,Entire home/apt,125,91,2,2019-10-21,0.21,1,0
35908805,Huge Luxury East Cambridge / Kendall MIT 2Bb 2Bth,16629232,Eugenio,,East Cambridge,42.37126,-71.08331,Entire home/apt,350,2,5,2019-09-29,0.46,1,0
36108622,Private room good 2 sleep in Harvard square,82946167,Yuan,,West Cambridge,42.37385,-71.12461,Private room,55,30,0,,,5,0
36197065,Historic Richardson's Row In Harvard Square,6499961,Brian,,Mid-Cambridge,42.37523,-71.11226,Entire home/apt,950,3,1,2019-07-30,0.10,1,174
36351988,"My casa, Your casa - Unique loft space for share",1655295,Jin,,West Cambridge,42.38064,-71.13933,Shared room,45,91,1,2019-09-01,0.11,2,88
36393934,剑桥高尔夫套房(3房1卫),251460237,Guanyu,,Strawberry Hill,42.38315,-71.15789,Entire home/apt,150,91,0,,,1,364
36441058,"Central Sq. 19th Century details, long-term only",9161433,Nels,,Cambridgeport,42.36346,-71.103,Entire home/apt,145,91,1,2019-08-01,0.10,4,359
36687393,Spacious 1 Bed Near MIT w/ Parking & Balcony,43450256,Steve,,East Cambridge,42.37251,-71.08057,Entire home/apt,200,21,0,,,15,0
36699059,"Enchanting1bed-9min drive toAirport,walk to train",24061028,Mannie,,The Port,42.37065,-71.09792,Entire home/apt,92,1,27,2020-03-08,2.66,2,81
